condition,mean,median,sd,ci_low,ci_high,positive_count,negative_count,zero_count
C-B,0.7398382186889648,0.7931278347969055,0.1920000226444752,0.6853723626285791,0.7908650788217783,50,0,0
C-N,0.710183592736721,0.7697440981864929,0.19602376542348113,0.6550358030349016,0.7625427776053547,50,0,0
C-A,0.7267097735404968,0.7890132367610931,0.18172395727627116,0.6757051807045937,0.7751769735217092,50,0,0
E-B,0.26989176392555236,0.23720213770866394,0.15514039066509688,0.2296899764575064,0.3133640434816479,50,0,0
E-N,0.279053785353899,0.2473190501332283,0.1499248754978749,0.23953764965757726,0.32093640048056826,50,0,0
E-A,0.29337389901280403,0.2700243890285492,0.15688761019728814,0.25165890604257585,0.33757476510852563,50,0,0
