metric,mean,median,sd,ci_low,ci_high,positive_count,negative_count,zero_count
wrong_confidence_effect,0.01432011365890503,0.008956573903560638,0.059821881889983275,-0.0019326809868216515,0.031023032721132035,29,21,0
correct_confidence_effect,0.016526180803775787,0.015355885028839111,0.04029751736106991,0.00549743077158928,0.02763865199685096,36,14,0
gap_reduction,-0.002206067144870758,-0.007530838251113892,0.0736720873691795,-0.02234102324396372,0.018261281792074438,20,30,0
neutral_correct_wrong_gap,0.43112980738282203,0.4585409462451935,0.19223707409451238,0.3780051029920578,0.4836438720673322,50,0,0
confident_correct_wrong_gap,0.4333358745276928,0.45197583734989166,0.1732099469470346,0.385771718647331,0.4799821908175945,50,0,0
baseline_correct_wrong_gap,0.46994645476341246,0.5048960074782372,0.19082300261224314,0.41707290218584236,0.5211334962714463,50,0,0
wrong_neutral_vs_baseline,0.009162021428346634,0.006529506295919418,0.050852427642661985,-0.004822053957730532,0.023048079619184123,30,20,0
wrong_confident_vs_baseline,0.023482135087251662,0.017934920266270638,0.052065717947240006,0.009612125899642707,0.038036442335695024,33,17,0
